Altan Tan,"",Independent,Diyarbakır,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Nursel Aydoğan,http://en.wikipedia.org/wiki/Nursel_Aydo%C4%9Fan,Independent,Diyarbakır,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Şerafettin Elçi,http://en.wikipedia.org/wiki/%C5%9Eerafettin_El%C3%A7i,Independent,Diyarbakır,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Mehmet Müezzinoğlu,http://en.wikipedia.org/wiki/Mehmet_M%C3%BCezzino%C4%9Flu,Justice and Development Party,Edirne,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Recep Gürkan,http://en.wikipedia.org/wiki/Recep_G%C3%BCrkan,Republican People's Party,Edirne,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Kemal Değirmendereli,"",Republican People's Party,Edirne,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Zülfü Demirbağ,"",Justice and Development Party,Elazığ,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Şuay Alpay,"",Justice and Development Party,Elazığ,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Faruk Septioğlu,"",Justice and Development Party,Elazığ,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Sermin Balık,"",Justice and Development Party,Elazığ,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Enver Erdem,"",Nationalist Movement Party,Elazığ,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Sebahattin Karakelle,"",Justice and Development Party,Erzincan,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Muharrem Işık,"",Republican People's Party,Erzincan,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Recep Akdağ,http://en.wikipedia.org/wiki/Recep_Akda%C4%9F,Justice and Development Party,Erzurum,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Adnan Yılmaz,"",Justice and Development Party,Erzurum,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Fazilet Dağcı Çığlık,"",Justice and Development Party,Erzurum,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Cengiz Yavilioğlu,"",Justice and Development Party,Erzurum,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Muhyettin Aksak,"",Justice and Development Party,Erzurum,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Oktay Öztürk,"",Nationalist Movement Party,Erzurum,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Nabi Avcı,http://en.wikipedia.org/wiki/Nabi_Avc%C4%B1,Justice and Development Party,Eskişehir,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
Salih Koca,"",Justice and Development Party,Eskişehir,http://en.wikipedia.org/wiki/24th_Parliament_of_Turkey,24
